   LogDate,UserName                                                                                                                        ,             Sum(TotalIOCount),                Count(QueryID)
2023/01/02,SVC_TDATA_TESTS_PROD                                                                                                            ,                      11036466,                           193
2023/01/10,F5173825                                                                                                                        ,                       2192977,                           422
2023/01/05,SVC_SHERLOCKDWSPROD                                                                                                             ,                     196412186,                          2330
2023/01/12,F3651142                                                                                                                        ,                     165295397,                          1550
2023/01/13,F5380413                                                                                                                        ,                      12734415,                            58
2023/01/12,SVC_LENDINGBI_PROD                                                                                                              ,                      37826597,                           258
2023/01/06,SVC_CRCARD_BI_PROD                                                                                                              ,                      26927927,                          4556
2023/01/01,SVC_HFPRICINGPROD                                                                                                               ,                       2156879,                            67
2023/01/02,F5064627                                                                                                                        ,                         21596,                            51
2023/01/11,F5457203                                                                                                                        ,                      25808997,                          1394
2023/01/08,SVC_CTRLEFFECT_PROD                                                                                                             ,                        562232,                           303
2023/01/02,SVC_PVTCLNTSAS_PROD                                                                                                             ,                         27091,                            32
2023/01/16,SVC_FDM_BDO_PROD                                                                                                                ,                        104148,                            96
2023/01/06,F4935675                                                                                                                        ,                            24,                             9
2023/01/07,SVC_DIGIS_UAT                                                                                                                   ,                       1211324,                           134
2023/01/07,F3193144                                                                                                                        ,                       4900543,                           624
2023/01/10,F5042089                                                                                                                        ,                             2,                             4
2023/01/14,F3208893                                                                                                                        ,                        562388,                          3327
2023/01/08,SVC_BANKINGAP_PROD                                                                                                              ,                      21257025,                            39
2023/01/09,F3796647                                                                                                                        ,                       1132751,                            49
2023/01/06,F5154634                                                                                                                        ,                         58123,                          3224
2023/01/04,F4734807                                                                                                                        ,                        450861,                            30
2023/01/09,F5494036                                                                                                                        ,                         41154,                            14
2023/01/13,SVC_CPFSAS_DEV                                                                                                                  ,                       3739706,                         38153
2023/01/10,F5508363                                                                                                                        ,                       2370975,                           107
2023/01/03,SVC_PBITWH_PROD                                                                                                                 ,                     685820841,                         15133
2023/01/10,F5182891                                                                                                                        ,                     204260237,                          9010
2023/01/06,F5028698                                                                                                                        ,                       3870229,                            88
2023/01/12,SVC_SQL_REPORTS_PROD                                                                                                            ,                      41784850,                           619
2023/01/04,F5549841                                                                                                                        ,                        694863,                            28
2023/01/10,F5547083                                                                                                                        ,                         23100,                            25
2023/01/06,N5355079                                                                                                                        ,                       4707807,                            57
2023/01/08,SVC_ESWPOWERBI_PROD                                                                                                             ,                      27123015,                          1080
2023/01/04,SVC_PI_EDW_PROD                                                                                                                 ,                      68061858,                          4202
2023/01/03,SVC_EBUBDSSCHEDULE                                                                                                              ,                     130784048,                          5228
2023/01/09,F5555523                                                                                                                        ,                        248393,                            88
2023/01/15,F5090717                                                                                                                        ,                        907068,                            12
2023/01/10,F5141761                                                                                                                        ,                        321835,                          2529
2023/01/09,F5316685                                                                                                                        ,                       2564278,                            16
2023/01/04,F3561879                                                                                                                        ,                      85370174,                           348
2023/01/08,SVC_FNBLIFEMI_PROD                                                                                                              ,                             8,                             3
2023/01/03,F5525888                                                                                                                        ,                        275703,                           106
2023/01/13,SVC_CRPGMPRDSA                                                                                                                  ,                       2188184,                            53
2023/01/09,SVC_EDW_FID_PROD                                                                                                                ,                        309144,                           128
2023/01/16,SVC_CRPMISPRDSA                                                                                                                 ,                       1128906,                         25413
2023/01/05,SVC_FNBLOANSIT                                                                                                                  ,                      43806788,                           238
2023/01/13,F5256933                                                                                                                        ,                        477970,                            16
2023/01/03,SVC_SNA_TERA_PROD                                                                                                               ,                       1492262,                          1200
2023/01/13,F3001687                                                                                                                        ,                         95729,                            54
2023/01/06,SVC_FNBLIFECOLL_PROD                                                                                                            ,                          1298,                           480
2023/01/12,F5090598                                                                                                                        ,                     304869926,                          1690
2023/01/15,F5302226                                                                                                                        ,                             8,                             3
2023/01/11,F5312639                                                                                                                        ,                       7677340,                           244
2023/01/09,SVC_BIUBIW_DBA_PROD                                                                                                             ,                        506090,                            19
2023/01/15,F5090989                                                                                                                        ,                       3657949,                           109
2023/01/09,F3123170                                                                                                                        ,                        186514,                            82
2023/01/02,F5065585                                                                                                                        ,                        533764,                           145
2023/01/11,R5558115                                                                                                                        ,                       3807466,                            37
2023/01/06,SVC_FCR_IT_PROD                                                                                                                 ,                     278569587,                        145036
2023/01/03,F4834178                                                                                                                        ,                        569946,                            42
2023/01/05,SVC_OFCRCODES_PROD                                                                                                              ,                       8065100,                            80
2023/01/02,SVC_SNA_TERA_PROD                                                                                                               ,                       3528203,                          1556
2023/01/09,F5293774                                                                                                                        ,                      28544367,                          1020
2023/01/10,SVC_DIGIS_DEV                                                                                                                   ,                       9828623,                         26641
2023/01/01,F2041138                                                                                                                        ,                       2285788,                            38
2023/01/03,F3484181                                                                                                                        ,                        641771,                           104
2023/01/04,F4628748                                                                                                                        ,                      50347107,                            13
2023/01/07,F5090423                                                                                                                        ,                        140004,                            50
2023/01/15,SVC_CRCARD_MTDW_DEV                                                                                                             ,                          6928,                            16
2023/01/09,F3766098                                                                                                                        ,                      21035849,                            56
2023/01/10,SVC_ABINITIO_VAN_QA                                                                                                             ,                          2124,                            15
2023/01/07,SVC_PBITWH_PROD                                                                                                                 ,                     631317438,                         33467
2023/01/13,F5430496                                                                                                                        ,                         32907,                            34
2023/01/05,F5320763                                                                                                                        ,                            34,                            17
2023/01/12,M5421640                                                                                                                        ,                       7179617,                            79
2023/01/09,SVC_RDAO_BDPTD_QA                                                                                                               ,                      35105351,                          2997
2023/01/13,SVC_OLAP_CUBES_PROD                                                                                                             ,                       5608169,                            80
2023/01/11,F5090660                                                                                                                        ,                            64,                            24
2023/01/04,F5488273                                                                                                                        ,                             8,                            20
