   LogDate,UserName                                                                                                                        ,             Sum(TotalIOCount),                Count(QueryID)
2023/01/10,F5173825                                                                                                                        ,                       2192977,                           422
2023/01/05,SVC_SHERLOCKDWSPROD                                                                                                             ,                     196412186,                          2330
2023/01/12,F3651142                                                                                                                        ,                     165295397,                          1550
2023/01/13,F5380413                                                                                                                        ,                      12734415,                            58
2023/01/17,F5329744                                                                                                                        ,                       3858211,                           101
2023/01/17,SVC_BISYSACC                                                                                                                    ,                        645649,                            51
2023/01/17,F5141893                                                                                                                        ,                       8566903,                            99
2023/01/18,SVC_DQ_DAM_PROD                                                                                                                 ,                         35727,                           101
2023/01/11,F5457203                                                                                                                        ,                      25808997,                          1394
2023/01/17,SVC_PBCSQLUSERPROD                                                                                                              ,                     875130226,                          2545
2023/01/13,F5441323                                                                                                                        ,                     675358285,                         11126
2023/01/16,SVC_FDM_BDO_PROD                                                                                                                ,                    2890419773,                         27655
2023/01/16,F4847644                                                                                                                        ,                         19012,                            15
2023/01/16,SVC_CT_BI_SQL_A_PROD                                                                                                            ,                     483747936,                          2588
2023/01/07,F3193144                                                                                                                        ,                       4900543,                           624
2023/01/10,F5042089                                                                                                                        ,                             2,                             4
2023/01/14,F3208893                                                                                                                        ,                        562388,                          3327
2023/01/17,F4902017                                                                                                                        ,                           124,                           259
2023/01/09,F3796647                                                                                                                        ,                       1132751,                            49
2023/01/06,F5154634                                                                                                                        ,                         58123,                          3224
2023/01/04,F4734807                                                                                                                        ,                        450861,                            30
2023/01/09,F5494036                                                                                                                        ,                         41154,                            14
2023/01/16,SVC_TXPBI_DATA_UAT                                                                                                              ,                        160139,                            78
2023/01/10,F5508363                                                                                                                        ,                       2370975,                           107
2023/01/08,SVC_OPRTNS_AIS_DEV                                                                                                              ,                           948,                           378
2023/01/10,F5182891                                                                                                                        ,                     204260237,                          9010
2023/01/06,F5028698                                                                                                                        ,                       3870229,                            88
2023/01/12,SVC_SQL_REPORTS_PROD                                                                                                            ,                      41784850,                           619
2023/01/04,F5549841                                                                                                                        ,                        694863,                            28
2023/01/17,RVGYSEN                                                                                                                         ,                       9853615,                           141
2023/01/18,F5292298                                                                                                                        ,                      28281567,                           274
2023/01/17,F5454417                                                                                                                        ,                      81867259,                           856
2023/01/04,SVC_PI_EDW_PROD                                                                                                                 ,                      68061858,                          4202
2023/01/18,F5453739                                                                                                                        ,                      10077145,                           106
2023/01/09,F5555523                                                                                                                        ,                        248393,                            88
2023/01/15,F5090717                                                                                                                        ,                        907068,                            12
2023/01/10,F5141761                                                                                                                        ,                        321835,                          2529
2023/01/09,F5316685                                                                                                                        ,                       2564278,                            16
2023/01/04,F3561879                                                                                                                        ,                      85370174,                           348
2023/01/16,F5091306                                                                                                                        ,                             4,                             8
2023/01/05,F3773531                                                                                                                        ,                         27239,                             4
2023/01/13,SVC_CRPGMPRDSA                                                                                                                  ,                       2188184,                            53
2023/01/18,F5540720                                                                                                                        ,                       3925592,                           169
2023/01/16,SVC_CRPMISPRDSA                                                                                                                 ,                     367585822,                        196997
2023/01/05,SVC_FNBLOANSIT                                                                                                                  ,                      43806788,                           238
2023/01/13,F5256933                                                                                                                        ,                        477970,                            16
2023/01/17,SVC_GMREADERPROD                                                                                                                ,                      30964129,                           198
2023/01/13,F3001687                                                                                                                        ,                         95729,                            54
2023/01/18,F3584011                                                                                                                        ,                       1836048,                            16
2023/01/12,F5090598                                                                                                                        ,                     304869926,                          1690
2023/01/15,F5302226                                                                                                                        ,                             8,                             3
2023/01/18,M5003857                                                                                                                        ,                      13606571,                           455
2023/01/17,F4937201                                                                                                                        ,                       2659668,                           380
2023/01/19,F5332575                                                                                                                        ,                          8652,                            25
2023/01/09,F3123170                                                                                                                        ,                        186514,                            82
2023/01/16,SVC_CRO_ACT0001_PROD                                                                                                            ,                      82240729,                          8288
2023/01/11,R5558115                                                                                                                        ,                       3807466,                            37
2023/01/06,SVC_FCR_IT_PROD                                                                                                                 ,                     278569587,                        145036
2023/01/07,F5100488                                                                                                                        ,                      36939986,                            69
2023/01/05,SVC_OFCRCODES_PROD                                                                                                              ,                       8065100,                            80
2023/01/04,SVC_D2DATA_PROD                                                                                                                 ,                         17615,                            22
2023/01/09,F5293774                                                                                                                        ,                      28544367,                          1020
2023/01/18,SVC_GIA_PBI_PROD                                                                                                                ,                     398360637,                          2384
2023/01/12,F5278155                                                                                                                        ,                      15069437,                           186
2023/01/06,F3212971                                                                                                                        ,                       2467241,                            96
2023/01/04,F4628748                                                                                                                        ,                      50347107,                            13
2023/01/07,F5090423                                                                                                                        ,                        140004,                            50
2023/01/16,F5148693                                                                                                                        ,                        142592,                            39
2023/01/17,F5537533                                                                                                                        ,                      16284232,                           376
2023/01/10,SVC_ABINITIO_VAN_QA                                                                                                             ,                          2124,                            15
2023/01/18,F5159431                                                                                                                        ,                      35173424,                            81
2023/01/18,F5385032                                                                                                                        ,                        581329,                            47
2023/01/05,F5320763                                                                                                                        ,                            34,                            17
2023/01/12,M5421640                                                                                                                        ,                       7179617,                            79
2023/01/09,SVC_RDAO_BDPTD_QA                                                                                                               ,                      35105351,                          2997
2023/01/13,SVC_OLAP_CUBES_PROD                                                                                                             ,                       5608169,                            80
2023/01/11,F5090660                                                                                                                        ,                            64,                            24
2023/01/16,SVC_ICUST_EDW_DEV                                                                                                               ,                     853899390,                          5784
